scode	lat	long
27101	27.7067463495	85.3188922809
27007	27.7038931952	85.3251961353
27045	27.7396600173	85.3254532539
27127	27.673541693	85.3449013829
27011	27.692876075	85.3121381404
27207	27.7430087863	85.3291130386
27050	27.7169584063	85.349928419
27003	27.7182081667	85.3140858448
27133	27.7002723554	85.340379903
27029	27.7037779185	85.340381525
27051	27.7079287488	85.3206852232
27172	27.6832523099	85.3362755709
27057	27.6913592848	85.3318487462
27156	27.7301931324	85.3543502402
27435	27.7226308489	85.3546439918
27063	27.6842548831	85.3474283227
27077	27.7127080965	85.3411835286
27113	27.7021743074	85.2833025109
27040	27.7422779423	85.3030774039
27017	27.6858822433	85.343107523
27119	27.6871652832	85.3369893846
27319	27.6993151813	85.2844782956
27439	27.6998847955	85.3395718268
27478	27.7189231503	85.3504369594
27022	27.7136039394	85.3447141827
27042	27.6982576253	85.2807963512
27152	27.6969156057	85.2952067175
27036	27.7148226374	85.3473946251
27246	27.6934917727	85.3211183674
27519	27.7205271118	85.3843563247
27104	27.7089050979	85.3264066917
27056	27.7149104332	85.3090078962
27117	27.6917366759	85.3279607809
27200	27.7262670076	85.3580879028
27163	27.7220316175	85.3870971558
27142	27.7225045031	85.3587102232
27205	27.7226396598	85.3797976404
27031	27.7429861159	85.306885241
27265	27.7567999395	85.3346555692
27138	27.678026744	85.2812728117
27230	27.6967497523	85.3698455316
27107	27.7103704415	85.2966023232
27298	27.7376304916	85.3268417116
27260	27.7366977776	85.3042339349
27118	27.6828280263	85.3440388862
27058	27.7018948588	85.2914367827
27408	27.7243394388	85.2996766386
27086	27.7186044477	85.3090255521
27124	27.7264134269	85.3163034804
27179	27.6760693002	85.3548051404
27204	27.7199301215	85.3498604232
27106	27.7280756123	85.3141633404
27076	27.6880283818	85.3504648962
27299	27.7262254367	85.3432209962
27064	27.6801460511	85.3469211975
27219	27.7356496106	85.3219993809
27027	27.6870835699	85.3485054182
27075	27.7185782667	85.3080246907
27188	27.6958541703	85.3374281962
27201	27.7609986912	85.351999752
27486	27.7205791961	85.3792070799
27095	27.6948178445	85.2823760577
27049	27.6951066148	85.33638301
27140	27.7409350689	85.3305027631
27174	27.7016414601	85.3216085809
27164	27.7308777903	85.3300599484
27020	27.7118041226	85.3252020714
27072	27.6890776205	85.3476766174
27151	27.736558765	85.3084589836
27268	27.7195914434	85.3605419041
27060	27.735087178	85.3177988745
27125	27.6773732534	85.2946577218
27257	27.6877320575	85.3429448113
27099	27.6952851309	85.3501741066
27479	27.7169751339	85.3722650521
27190	27.782309326	85.3579441092
27425	27.6805432932	85.3412325539
27187	27.6788321898	85.3417445417
27144	27.6953173978	85.2857957482
27366	27.729757496	85.3789260404
27412	27.6977929656	85.3537996558
27245	27.7311515128	85.3559086624
27115	27.7254032051	85.3127028116
27013	27.7146325985	85.3317342781
27137	27.6988990962	85.3297100159
27148	27.6781761004	85.2796471134
27291	27.7237886742	85.3389234669
27282	27.7265964288	85.350594597
27074	27.7348804812	85.3155153447
27061	27.6738190176	85.3434160386
27192	27.7054447505	85.3262248827
27243	27.7181356134	85.3136743692
27236	27.7264520979	85.347091636
27067	27.6929353739	85.2745699827
27025	27.7279012164	85.34645182
27349	27.6751317145	85.3453532809
27251	27.722818616	85.2881795097
27039	27.7106748142	85.3083601631
27043	27.6919839749	85.2923304827
27305	27.704924728	85.2835018404
27090	27.7290385369	85.3455407289
27433	27.7304306005	85.3123556174
27238	27.7181102459	85.3454140981
27080	27.6964807181	85.3031530009
27195	27.7029632564	85.3032842607
27147	27.7464988036	85.3305101367
27034	27.7209708684	85.3217150599
27253	27.6943986722	85.3362495674
27322	27.7222096879	85.2842836212
27023	27.714514948	85.3086689692
27427	27.7081160485	85.3142291134
27226	27.6965874053	85.352207231
27321	27.7266237179	85.3720796269
27391	27.717161538	85.3708577508
27087	27.7462567256	85.3402661116
27044	27.706023652	85.3267227367
27065	27.7175713392	85.3590764064
27445	27.7358044474	85.3815148317
27084	27.7048747574	85.3179867521
27244	27.7376457037	85.3191990367
27297	27.729986854	85.4606547619
27135	27.6914301265	85.2837653943
27344	27.7271484259	85.3582232602
27108	27.7206286611	85.3279397542
27197	27.6681543019	85.2750561492
27008	27.7399016345	85.3874417985
27150	27.6913104762	85.3509680404
27271	27.743466479	85.3126463262
27083	27.686566519	85.3303860604
27079	27.7260172919	85.3135375846
27136	27.6927185053	85.3176549821
27503	27.6947419679	85.3333060071
27097	27.7143419283	85.3413761324
27441	27.6876360638	85.2665979729
27180	27.7188908379	85.3517883315
27241	27.7163847218	85.3319261116
27339	27.7166222279	85.3460180058
27092	27.7017521973	85.3034417067
27307	27.7420911615	85.3637216055
27146	27.7666332254	85.3314147674
27168	27.7223149098	85.3028932421
27242	27.7455403884	85.3114530327
27209	27.7202853309	85.3015112097
27038	27.7268257407	85.3247573464
27185	27.6945061089	85.2806589712
27235	27.7204013184	85.3629069931
27482	27.7196094197	85.3818590981
27159	27.7051735546	85.3270023404
27247	27.7234938091	85.3635965404
27432	27.6914950294	85.226317757
27302	27.7123813726	85.2974799267
27015	27.622640294	85.2655439937
27335	27.7225709626	85.3858021809
27280	27.700592861	85.3018698558
27392	27.7223712034	85.2841656251
27169	27.6961259782	85.3516092492
27262	27.6928285903	85.2846303058
27340	27.6986886573	85.2940532692
27026	27.6862072416	85.2589280159
27284	27.7640308375	85.3120967616
27052	27.7045578544	85.3334670809
27215	27.7595861811	85.2895528214
27283	27.7140494898	85.3802704768
27010	27.7433620495	85.3459921153
27279	27.7251442057	85.3311896539
27458	27.7311741138	85.3754286611
27130	27.6937597481	85.2196856103
27214	27.7266589025	85.4596341385
27278	27.7413392737	85.3449341851
27018	27.7159469902	85.3029008738
27128	27.7121615346	85.3410772827
27134	27.7211316321	85.3030702692
27393	27.7411676765	85.3382349097
27374	27.7469874132	85.3434284386
27085	27.7202156341	85.312957752
27229	27.715798921	85.4008347981
27272	27.6989554604	85.2850565251
27317	27.6610965474	85.2568030116
27352	27.7567268851	85.3033336827
27105	27.7456501722	85.3180989232
27033	27.7276543942	85.4621226674
27183	27.688893459	85.3588771809
27413	27.6980809038	85.353948463
27155	27.6101103892	85.2617855539
27362	27.6909039223	85.2928593007
27518	27.7348691461	85.3209885471
27276	27.7184137127	85.3213906116
27324	27.7021080612	85.2858060864
27006	27.7019961486	85.2941836097
27186	27.789311678	85.3116698673
27182	27.6852605885	85.3400803809
27184	27.7240104165	85.3084710981
27311	27.7097384831	85.2807726386
27028	27.725323186	85.2979851763
27066	27.7185054478	85.2571198386
27216	27.7370595927	85.2949225827
27325	27.6948637507	85.3355953497
27024	27.7045065705	85.3322647249
27041	27.7393216521	85.4183416213
27068	27.6825608916	85.3483339539
27250	27.7212947111	85.3716623864
27091	27.7419856196	85.329718379
27267	27.7237977567	85.3774455496
27338	27.693620462	85.2197347959
27094	27.7036975763	85.3293541221
27225	27.7020902277	85.3780869203
27357	27.6748229978	85.2739662539
27436	27.7275802975	85.4039182367
27329	27.718527636	85.3535878597
27336	27.6687770235	85.3497914386
27418	27.693175111	85.3464917602
27199	27.709896344	85.3324032944
27342	27.7522647896	85.3120610995
27364	27.699909065	85.3414385097
27208	27.720954617	85.3075179521
27021	27.7095998038	85.3133114213
27165	27.7199229833	85.2859806597
27455	27.7317456375	85.3170185267
27032	27.6932818721	85.2904133232
27426	27.7509958464	85.3070278521
27504	27.7550049598	85.3289678746
27178	27.7109699353	85.3437755386
27447	27.6908954768	85.2801120692
27143	27.7260533487	85.3994091615
27394	27.7143723601	85.3538345999
27474	27.748462796	85.3019179481
27037	27.7805012917	85.3580299354
27462	27.7197445293	85.3689088537
27239	27.7548888206	85.4468269636
27388	27.7373820681	85.3538816692
27355	27.7265005569	85.402805413
27494	27.6148914083	85.2681514652
27046	27.7090541807	85.2973178214
27126	27.6897794541	85.3348379982
27285	27.7562929228	85.3272004312
27507	27.708901364	85.393225596
27460	27.7442222796	85.3154774238
27002	27.7081770282	85.3306145557
27263	27.6791496018	85.3473807711
27452	27.7168142275	85.3818737574
27167	27.7501861482	85.3526980674
27258	27.7492219491	85.3490396236
27264	27.7147972294	85.3306217097
27337	27.7150081371	85.3083644809
27430	27.7059256635	85.2551596788
27459	27.7138961217	85.3255630054
27487	27.7565044854	85.4224083188
27103	27.6985103957	85.3461293194
27256	27.6900408788	85.3511466674
27457	27.7148651414	85.3821146016
27477	27.6921115749	85.2463172611
27203	27.6512498355	85.2836810539
27296	27.7047240415	85.2115810269
27345	27.7327371668	85.3562235856
27354	27.6199453129	85.2677678962
27449	27.7140959327	85.3254708097
27365	27.7354179918	85.3805882656
27476	27.731230338	85.3744541114
27016	27.7434651079	85.399604254
27070	27.6830062915	85.3336561404
27240	27.7019593157	85.3500561751
27351	27.6923699136	85.3641884599
27081	27.6840600916	85.3293540981
27173	27.7358818209	85.3173710118
27293	27.6828592124	85.2981702972
27328	27.7110171471	85.3030164981
27444	27.7092995601	85.3121729785
27171	27.7655274945	85.3004546706
27379	27.7278449254	85.3743619809
27161	27.6955969682	85.2996340809
27303	27.7264822562	85.3295489623
27312	27.7185662478	85.3104657097
27369	27.7156751276	85.3570379423
27505	27.7113003605	85.3100439251
27422	27.7342509881	85.3825408028
27110	27.6869340695	85.3440107814
27211	27.7984629062	85.3274212834
27443	27.7009004654	85.3096375116
27249	27.6874313034	85.3251554931
27446	27.6842969885	85.2523063521
27456	27.7024739704	85.328257168
27499	27.7406449498	85.2864116558
27233	27.7128489037	85.2999233316
27506	27.6848886858	85.2505449825
27517	27.6913978763	85.3019510053
27371	27.7159847312	85.3722205674
27448	27.7036366177	85.3066340987
27461	27.7102267866	85.3757520721
27489	27.7255725594	85.2864096884
27210	27.7414612005	85.3442361099
27301	27.7020595421	85.2725930292
27442	27.7259557918	85.3363369504
27490	27.7333053995	85.3188359132
27429	27.6944852867	85.2611245222
27453	27.675314285	85.3435370109
27502	27.7036772878	85.3188374698
27395	27.7200735129	85.2706185115
27516	27.7237609361	85.2540360515
27524	27.7458211956	85.4040875077
27341	27.7127102817	85.3102218904
27129	27.7728347693	85.2788213732
27198	27.7615365328	85.4953419578
27248	27.7251378643	85.3150818754
27428	27.7026947771	85.3481723133
27437	27.7517726778	85.4320202301
27525	27.6807573843	85.2224584089
27160	27.735916906	85.4454070201
27323	27.7071775453	85.3007863395
27401	27.7369791612	85.3485040674
27454	27.7094167526	85.3451402016
27466	27.695964071	85.3351521611
27469	27.7110158454	85.2775559569
27472	27.7210731271	85.3814598494
27484	27.7388920422	85.3906725593
27232	27.7655026977	85.5332431485
27275	27.6133462372	85.2645293269
27496	27.7482029673	85.3193395077
27231	27.7217705527	85.2924153616
27330	27.7263681122	85.3067162232
27468	27.7143586173	85.294887309
27514	27.7252863319	85.342820777
27522	27.7223302384	85.3389729672
27333	27.7396996209	85.3784363894
27488	27.6215559551	85.2566773881
27492	27.7253046171	85.3759031286
27520	27.6990590629	85.2986206457
27286	27.745230245	85.3431205846
27287	27.695812667	85.3040865692
27415	27.6963173685	85.3428948386
27434	27.7292223169	85.3367575367
27154	27.7309805703	85.3442385222
27326	27.6960754713	85.3020803539
27475	27.7386563144	85.3956372801
27093	27.7135888349	85.3082263448
27281	27.7680207121	85.2701872107
27309	27.7330574145	85.2876714558
27370	27.6883495823	85.3250569521
27480	27.7688214665	85.3067225599
27495	27.7524321751	85.3464732225
27513	27.7333005396	85.3677897825
27177	27.6969347647	85.2973589558
27224	27.6981446668	85.3441632692
27316	27.7434116353	85.2987775944
27498	27.7238165479	85.3609676727
27500	27.7826943965	85.3168989457
27511	27.6964501312	85.3102242118
27112	27.7347709082	85.3624431674
27202	27.7939028137	85.3194638797
27372	27.7462929187	85.2995945539
27501	27.712776639	85.3299070936
27521	27.705830347	85.3474796898
27194	27.7116369662	85.2988981584
27304	27.7282927055	85.3388764962
27403	27.7463814947	85.3266121386
27438	27.74086289	85.4010003521
27471	27.7375729717	85.3940497016
27485	27.7336069007	85.3180101082
27493	27.7447113723	85.349671179
27497	27.718874869	85.2860315114
27450	27.7037649641	85.3304604687
27491	27.7604242679	85.3314805034
27440	27.6977109696	85.3055977097
27512	27.7607510504	85.3153242037
27515	27.6928215342	85.3663658453
27030	27.720200382	85.2709098731
27071	27.7024733561	85.3494364936
27098	27.6974658765	85.2973985657
27111	27.7383759537	85.3409508732
27122	27.727049665	85.2865262592
27157	27.725099559	85.3548513734
27166	27.7408841976	85.3164792928
27176	27.7382228309	85.3025739759
27196	27.7260893422	85.3820594847
27206	27.7329634821	85.3145255674
27212	27.7403333269	85.3136678512
27217	27.7053358521	85.3348926862
27223	27.7228628512	85.3087085435
27227	27.7271600984	85.3770434827
27266	27.6839949839	85.3336992846
27294	27.7382401947	85.3449330976
27308	27.6978002812	85.3427345148
27320	27.7262514666	85.3472160539
27347	27.7365460975	85.3027081386
27377	27.7624818523	85.3301999558
27389	27.7320131843	85.2964522827
27411	27.7039397479	85.3410298232
27417	27.6662183219	85.3136645183
27451	27.6930746036	85.223083634
27463	27.7070610503	85.3844519862
27465	27.6900440786	85.3690211077
27467	27.6951822706	85.3711104942
27473	27.7289294945	85.3133774844
27508	27.7039541543	85.3806444243
27509	27.7690559746	85.3669900223
27510	27.7242664475	85.2852288206
27003	27.71933026	85.31413793
27051	27.70792875	85.32068522
27045	27.74212647	85.33392421
27075	27.71854977	85.30801396
27115	27.72561392	85.31288447
27134	27.7211371	85.30302673
27135	27.69156388	85.28377703
27137	27.69546246	85.3294068
27192	27.70542575	85.32621415
27243	27.71805963	85.31370656
27412	27.70389647	85.35361771
27425	27.68069531	85.34123255
27006	27.70189166	85.29430163
27007	27.70399774	85.32512105
27010	27.74333356	85.3458741
27011	27.69286658	85.31222397
27017	27.68589209	85.34305889
27018	27.71684425	85.302833
27021	27.70977978	85.3133301
27022	27.71367992	85.34466054
27025	27.72833813	85.34655913
27028	27.72537973	85.29802861
27029	27.70386999	85.34027905
27036	27.71480364	85.34741608
27038	27.72680681	85.32469299
27039	27.71021634	85.30897002
27041	27.73941661	85.41827725
27043	27.69197447	85.29236267
27049	27.69510661	85.33638301
27050	27.71695841	85.34992842
27057	27.69135928	85.33184875
27060	27.73508718	85.31779887
27349	27.67513171	85.34535328
27063	27.68425488	85.34742832
27064	27.68014605	85.3469212
27065	27.71757134	85.35907641
27067	27.69293537	85.27456998
27072	27.68907762	85.34767662
27074	27.73488048	85.31551534
27076	27.68802838	85.3504649
27080	27.69648072	85.303153
27081	27.68406009	85.3293541
27083	27.68656652	85.33038606
27084	27.70487476	85.31798675
27086	27.71860445	85.30902555
27090	27.72903854	85.34554073
27091	27.74198562	85.32971838
27092	27.7017522	85.30344171
27095	27.69481784	85.28237606
27097	27.71434193	85.34137613
27101	27.70674635	85.31889228
27102	27.71601668	85.34272884
27104	27.7089051	85.32640669
27106	27.72807561	85.31416334
27107	27.71037044	85.29660232
27113	27.70217431	85.28330251
27219	27.73566929	85.32207326
27117	27.69173668	85.32796078
27118	27.68282803	85.34403889
27119	27.68716528	85.33698938
27125	27.67737325	85.29465772
27126	27.68977945	85.334838
27127	27.67354169	85.34490138
27133	27.70027236	85.3403799
27136	27.69271851	85.31765498
27144	27.6953174	85.28579575
27146	27.76663323	85.33141477
27147	27.7464988	85.33051014
27156	27.73019313	85.35435024
27164	27.73087779	85.33005995
27165	27.71992298	85.28598066
27169	27.69612598	85.35160925
27172	27.68325231	85.33627557
27174	27.70164146	85.32160858
27179	27.6760693	85.35480514
27183	27.68889346	85.35887718
27186	27.78931168	85.31166987
27187	27.67883219	85.34174454
27188	27.69585417	85.3374282
27195	27.70296326	85.30328426
27197	27.6681543	85.27505615
27200	27.72626701	85.3580879
27201	27.76099869	85.35199975
27203	27.65124984	85.28368105
27204	27.71993012	85.34986042
27205	27.72263966	85.37979764
27207	27.74300879	85.32911304
27208	27.72095462	85.30751795
27214	27.7266589	85.45963414
27058	27.70189486	85.29143678
27230	27.69674975	85.36984553
27235	27.72040132	85.36290699
27236	27.7264521	85.34709164
27238	27.71811025	85.3454141
27240	27.70195932	85.35005618
27241	27.71638472	85.33192611
27242	27.74554039	85.31145303
27244	27.7376457	85.31919904
27245	27.73115151	85.35590866
27247	27.72349381	85.36359654
27248	27.72513786	85.31508188
27251	27.72281862	85.28817951
27257	27.68773206	85.34294481
27260	27.73669778	85.30423393
27263	27.6791496	85.34738077
27265	27.75679994	85.33465557
27267	27.72379776	85.37744555
27271	27.74346648	85.31264633
27278	27.74133927	85.34493419
27279	27.72514421	85.33118965
27282	27.72659643	85.3505946
27283	27.71404949	85.38027048
27291	27.72378867	85.33892347
27299	27.72622544	85.343221
27305	27.70492473	85.28350184
27307	27.74209116	85.36372161
27311	27.70973848	85.28077264
27319	27.69931518	85.2844783
27321	27.72662372	85.37207963
27335	27.72257096	85.38580218
27337	27.71500814	85.30836448
27339	27.71662223	85.34601801
27340	27.69868866	85.29405327
27341	27.71271028	85.31022189
27344	27.72714843	85.35822326
27345	27.73273717	85.35622359
27362	27.69090392	85.2928593
27366	27.7297575	85.37892604
27391	27.71716154	85.37085775
27393	27.74116768	85.33823491
27432	27.69149503	85.22631776
27433	27.7304306	85.31235562
27435	27.72252638	85.35426848
27449	27.71409593	85.32547081
27455	27.73183785	85.31701238
27458	27.73135704	85.37508309
27462	27.71979202	85.36890885
27478	27.71892315	85.35043696
27479	27.71697513	85.37226505
27482	27.71960942	85.3818591
27159	27.70517355	85.32700234
27505	27.71130036	85.31004393
27447	27.69098098	85.28006915
